Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Cortos,Cortos,Cortos,Medios,Medios,Medios,Largos,Largos,Largos
Jugador,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp,Int.,% Cmp,Cmp,Int.,% Cmp,Cmp,Int.,% Cmp,Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,Prog
Khvicha Kvaratskhelia,231,299,77.3,3151,601,144,163,88.3,63,80,78.8,10,25,40.0,5,4.2,3.3,+0.8,23,12,13,2,18
Hirving Lozano,172,240,71.7,2475,659,90,102,88.2,63,80,78.8,10,22,45.5,3,1.9,1.5,+1.1,17,7,19,9,22
Rafael Leão,249,325,76.6,4669,1327,108,135,80.0,98,119,82.4,36,50,72.0,4,2.7,2.7,+1.3,23,31,24,8,42
